Circuit: * C:\Users\vtolenti89\Documents\05_Electronics\02-Projects\NiMH_battery_charger\02-Simulation_Calculation\01_nimh_version_1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000379894 ++++++++++++++++++++++++++++++to 0.000379897
Heightened Def Con from 0.000380988 +++++++++++++++++++++++++++++++to 0.000380993
Heightened Def Con from 0.000385541 +++++++++++++++++++++++++++++++to 0.000385546
Heightened Def Con from 0.000386699 ++++++++++++++++++++++++++++++to 0.000386702
Heightened Def Con from 0.000387818 +to 0.000387818
Heightened Def Con from 0.000390116 ++++++++++++++++++++++++++++++to 0.000390119
Heightened Def Con from 0.00039124 +++++++++++++++++++++++to 0.00039124
Heightened Def Con from 0.000393507 +to 0.000393507
Heightened Def Con from 0.000394631 +to 0.000394631
Heightened Def Con from 0.000395748 +to 0.000395748
Heightened Def Con from 0.000397998 +++++++++++++++++++++++++++++++to 0.000398003
Heightened Def Con from 0.000401425 +++++++++++++++++++++++++++++++to 0.00040143
Heightened Def Con from 0.000404884 ++++++++++++++++++++++++++++++to 0.000404887
Heightened Def Con from 0.000407135 ++to 0.000407135

Date: Mon Jun 01 12:59:27 2020
Total elapsed time: 5.461 seconds.

tnom = 27
temp = 27
method = trap
totiter = 667349
traniter = 667315
tranpoints = 78979
accept = 24425
rejected = 59143
matrix size = 24
fillins = 12
solver = Normal
Matrix Compiler1: 2.25 KB object code size  0.4/0.3/[0.2]
Matrix Compiler2: off  [0.2]/0.3/0.3

